sku,rmsse,weight,weighted_error,active_days,total_qty,last_7_qty,last_28_qty,last_56_qty,last_84_qty
SKU-03136,3.117519502829033,1.796433525252285e-05,5.6004165505099095e-05,14,14.0,0.0,2.0,3.0,8.0
SKU-12212,0.3839646174321758,0.0001455792473138064,5.5897280000909784e-05,116,314.0,7.0,15.0,15.0,15.0
SKU-14834,0.6553884680353411,8.524566557373876e-05,5.586902616702566e-05,84,220.0,4.0,5.0,10.0,31.0
SKU-09402,2.4839190751511713,2.2467938155124617e-05,5.580854016283085e-05,18,42.0,7.0,31.0,37.0,37.0
SKU-12058,0.6466773710706486,8.622186296564255e-05,5.575772767143544e-05,86,122.0,0.0,2.0,3.0,10.0
SKU-02604,5.956968199449243,9.3267025113469e-06,5.555887026581687e-05,9,19.0,0.0,0.0,0.0,0.0
SKU-15520,0.5415417114044562,0.00010256057508485914,5.5540829354079844e-05,118,1685.0,12.0,54.0,141.0,243.0
SKU-07210,1.3363041663916038,4.146212071613569e-05,5.5406004660403754e-05,22,63.0,0.0,0.0,0.0,0.0
SKU-01433,2.9664687635706497,1.8652921989951003e-05,5.5333310432509736e-05,7,7.0,0.0,0.0,0.0,0.0
SKU-09018,0.6860682430667397,8.063663812423237e-05,5.532223664470059e-05,192,254.0,0.0,0.0,1.0,1.0
SKU-02356,0.9604454613252849,5.759020110627732e-05,5.531224726933445e-05,107,122.0,0.0,0.0,0.0,3.0
SKU-11418,1.160338308447176,4.7569865638000846e-05,5.519713742745734e-05,74,99.0,0.0,2.0,2.0,2.0
SKU-14352,0.3325453495362566,0.0001656381612189261,5.50822002190906e-05,153,629.0,0.0,2.0,10.0,18.0
SKU-01692,0.19690988100362317,0.00027955126871338835,5.504640705676518e-05,101,110.0,0.0,0.0,5.0,15.0
SKU-13649,0.40433826744732254,0.00013595609818317663,5.4972253188283715e-05,19,31.0,0.0,3.0,3.0,3.0
SKU-00447,0.6506493882351873,8.447930974003043e-05,5.4966411200881696e-05,66,61.0,3.0,3.0,5.0,6.0
SKU-06333,0.5129170178598556,0.0001070521960657437,5.4908893161389815e-05,80,256.0,0.0,10.0,45.0,58.0
SKU-04744,1.985787787772292,2.7628907386168963e-05,5.486514687694601e-05,30,64.0,6.0,19.0,34.0,39.0
SKU-13818,0.7417163399828515,7.380311229577303e-05,5.474097433136416e-05,85,125.0,5.0,7.0,11.0,12.0
SKU-04405,0.62822649764977,8.704896228738898e-05,5.4686464701853296e-05,83,97.0,0.0,2.0,2.0,2.0
SKU-12292,1.9771905972784845,2.7590376688966195e-05,5.4551433364795445e-05,26,26.0,0.0,1.0,1.0,3.0
SKU-13416,0.42952415531413723,0.0001269506124457889,5.4528354577389873e-05,114,450.0,0.0,6.0,24.0,24.0
SKU-08368,1.2889079630301725,4.2289709020174564e-05,5.450754271033191e-05,74,78.0,1.0,2.0,5.0,8.0
SKU-02662,7.326719839513249,7.439163709224453e-06,5.4504668337761766e-05,5,5.0,0.0,1.0,2.0,2.0
SKU-00332,0.19472855036900216,0.0002786417309592126,5.425950034199698e-05,122,217.0,0.0,0.0,5.0,27.0
SKU-06031,0.37501010850539224,0.00014456605579897986,5.421373227137202e-05,65,92.0,0.0,6.0,8.0,11.0
SKU-09324,0.6657450992057985,8.14251122039526e-05,5.42083694020637e-05,123,271.0,0.0,0.0,0.0,0.0
SKU-06756,0.48091373233476464,0.00011271644453371737,5.42068860362145e-05,37,33.0,0.0,2.0,6.0,11.0
SKU-14508,0.4532047548398346,0.00011932834398318564,5.4080172880343095e-05,210,439.0,17.0,21.0,22.0,35.0
